mandante,qtd_jogos,uf_mandante,mandante_nordeste
Criciuma,3,SC,Não
Londrina,3,PR,Não
Ponte Preta,3,SP,Não
CRB,3,AL,Sim
Vila Nova,3,GO,Não
Guarani SP,3,SP,Não
Sampaio Correa,2,MA,Sim
Chapecoense,2,SC,Não
Ituano,2,SP,Não
Operario PR,2,PR,Não
Atletico Goianiense,2,GO,Não
Vitoria,2,BA,Sim
Botafogo SP,2,SP,Não
Novorizontino,1,SP,Não
Tombense,1,MG,Não
Mirassol,1,SP,Não
ABC,1,RN,Sim
Avai,1,SC,Não
Juventude,1,RS,Não
Ceara,1,CE,Sim
Gremio,1,RS,Não
Vasco Da Gama RJ,1,RJ,Não
Cruzeiro,1,MG,Não
Nautico Capibaribe,1,PE,Sim
EC Bahia,1,BA,Sim
CSA,1,AL,Sim
Coritiba,1,PR,Não
Brasil de Pelotas,1,RS,Não
Figueirense,1,SC,Não
Oeste,1,SP,Não
Parana,1,PR,Não
Cuiaba,1,MT,Não
Sao Bento,1,SP,Não
America MG,1,MG,Não
Bragantino,1,SP,Não
Brusque,2,SC,Não
Gremio Novorizontino,1,SP,Não
Tombense MG,1,MG,Não
Amazonas, 1,AM,Não
Goias,1,GO,Não
Guarani,1,SP,Não
Santos,1,SP,Não
Paysandu,1,PA,Não
Operario,1,PR,Não