tournament,home,home_goal,away_goal,away,home_corner,away_corner,home_attack,away_attack,home_shots,away_shots,time,date,ht_diff,at_diff,ht_result,at_result,total_corners
Serie B,Amazonas,2,3,Sport Recife,,,,,,,,2024-04-20,,,,,
Serie B,Sport Recife,2,0,Vila Nova,,,,,,,,2024-04-26,,,,,
Serie B,Coritiba,0,1,Sport Recife,,,,,,,,2024-05-03,,,,,
Serie B,Sport Recife,4,1,Brusque,,,,,,,,2024-05-11,,,,,
Serie B,Ituano,1,0,Sport Recife,,,,,,,,2024-05-15,,,,,
Serie B,Sport Recife,1,2,Avai,,,,,,,,2024-05-18,,,,,
Serie B,Goias,3,0,Sport Recife,,,,,,,,2024-05-31,,,,,
Serie B,Sport Recife,1,0,Paysandu,,,,,,,,2024-06-10,,,,,
Serie B,Sport Recife,1,0,Mirassol,,,,,,,,2024-06-16,,,,,
Serie B,Ceara,0,0,Sport Recife,,,,,,,,2024-06-20,,,,,
Serie B,Sport Recife,1,2,Novorizontino,,,,,,,,2024-06-24,,,,,
Serie B,Botafogo SP,1,1,Sport Recife,,,,,,,,2024-06-29,,,,,
Serie B,Guarani,0,1,Sport Recife,,,,,,,,2024-07-07,,,,,
Serie B,Sport Recife,1,1,America MG,,,,,,,,2024-07-13,,,,,
Serie B,Chapecoense,1,1,Sport Recife,,,,,,,,2024-07-23,,,,,
Serie B,Sport Recife,3,1,Ponte Preta,,,,,,,,2024-07-27,,,,,
Serie B,Santos,1,1,Sport Recife,,,,,,,,2024-08-02,,,,,
Serie B,Sport Recife,3,2,Amazonas,,,,,,,,2024-08-10,,,,,
Serie B,Vila Nova,2,0,Sport Recife,,,,,,,,2024-08-16,,,,,
Serie B,Sport Recife,0,1,Coritiba,,,,,,,,2024-08-22,,,,,
Serie B,Brusque,1,0,Sport Recife,,,,,,,,2024-08-27,,,,,
Serie B,Sport Recife,3,2,Ituano,,,,,,,,2024-09-02,,,,,
Serie B,Avai,0,2,Sport Recife,,,,,,,,2024-09-07,,,,,
Serie B,CRB,1,1,Sport Recife,,,,,,,,2024-09-11,,,,,
Serie B,Sport Recife,2,0,CRB,,,,,,,,2024-09-15,,,,,
Serie B,Sport Recife,1,1,Goias,,,,,,,,2024-09-18,,,,,
Serie B,Paysandu,0,1,Sport Recife,,,,,,,,2024-09-23,,,,,
Serie B,Mirassol,0,0,Sport Recife,,,,,,,,2024-09-29,,,,,
Serie B,Sport Recife,2,1,Ceara,,,,,,,,2024-10-07,,,,,
Serie B,Novorizontino,1,3,Sport Recife,,,,,,,,2024-10-11,,,,,
Serie B,Sport Recife,1,2,Operário,,,,,,,,2024-10-16,,,,,
Serie B,Sport Recife,3,1,Botafogo SP,,,,,,,,2024-10-20,,,,,
Serie B,Sport Recife,4,0,Guarani,,,,,,,,2024-10-24,,,,,
Serie B,America MG,2,1,Sport Recife,,,,,,,,2024-10-28,,,,,
Serie B,Operario,2,1,Sport Recife,,,,,,,,2024-11-04,,,,,
Serie B,Sport Recife,1,1,Chapecoense,,,,,,,,2024-11-10,,,,,
Serie B,Ponte Preta,0,4,Sport Recife,,,,,,,,2024-11-16,,,,,
Serie B,Sport Recife,2,1,Santos,,,,,,,,2024-11-24,,,,,